analysis_days,holding_days,off_exchange_threshold,price_stability_threshold,trade_count,avg_return,hit_rate,avg_off_exchange
3,5,50,1.5,126,3.125,58.73,58.852
3,5,50,2.0,163,3.157,58.282,58.569
3,5,50,2.5,204,3.3,58.824,58.752
3,6,20,0.5,361,2.334,63.712,40.752
3,6,20,1.0,706,1.764,61.331,40.246
3,6,20,1.5,1050,1.949,61.619,40.59
3,6,20,2.0,1316,1.792,60.258,40.572
3,6,20,2.5,1569,1.792,60.102,40.884
3,6,25,0.5,358,2.362,63.687,40.895
3,6,25,1.0,700,1.782,61.286,40.383
3,6,25,1.5,1042,1.935,61.612,40.719
3,6,25,2.0,1305,1.789,60.23,40.712
3,6,25,2.5,1558,1.79,60.077,41.003
3,6,30,0.5,343,2.398,63.848,41.489
3,6,30,1.0,665,1.851,61.805,41.039
3,6,30,1.5,995,1.974,61.91,41.321
3,6,30,2.0,1245,1.839,60.562,41.325
3,6,30,2.5,1494,1.831,60.308,41.561
3,6,35,0.5,277,2.396,64.621,43.558
3,6,35,1.0,533,1.655,61.351,43.09
3,6,35,1.5,792,1.98,61.237,43.517
3,6,35,2.0,993,1.86,59.919,43.494
3,6,35,2.5,1202,1.865,59.983,43.687
3,6,40,0.5,154,2.744,64.935,48.283
3,6,40,1.0,293,2.34,63.823,47.6
3,6,40,1.5,451,2.488,61.197,47.996
3,6,40,2.0,564,2.37,60.284,47.988
3,6,40,2.5,696,2.377,60.632,48.108
3,6,45,0.5,83,2.887,67.47,53.316
3,6,45,1.0,149,2.484,63.087,52.913
3,6,45,1.5,229,3.061,61.135,53.646
3,6,45,2.0,284,2.908,60.563,53.749
3,6,45,2.5,351,2.966,61.254,53.935
3,6,50,0.5,40,3.855,67.5,59.829
3,6,50,1.0,74,3.101,66.216,58.701
3,6,50,1.5,126,4.089,63.492,58.852
3,6,50,2.0,163,3.751,62.577,58.569
3,6,50,2.5,204,3.599,61.765,58.752
3,7,20,0.5,358,2.504,62.849,40.746
3,7,20,1.0,701,1.877,60.628,40.261
3,7,20,1.5,1043,2.208,61.841,40.602
3,7,20,2.0,1307,2.05,60.673,40.588
3,7,20,2.5,1559,2.024,60.936,40.9
3,7,25,0.5,355,2.501,62.817,40.891
3,7,25,1.0,695,1.877,60.576,40.399
3,7,25,1.5,1035,2.181,61.836,40.731
3,7,25,2.0,1296,2.032,60.648,40.729
3,7,25,2.5,1548,2.009,60.917,41.021
3,7,30,0.5,340,2.536,63.235,41.49
3,7,30,1.0,660,1.914,61.061,41.06
3,7,30,1.5,988,2.233,62.146,41.338
3,7,30,2.0,1236,2.087,60.922,41.348
3,7,30,2.5,1484,2.054,61.119,41.584
3,7,35,0.5,274,2.619,64.234,43.581
3,7,35,1.0,530,1.75,60.566,43.1
3,7,35,1.5,787,2.334,61.881,43.532
3,7,35,2.0,987,2.187,60.689,43.512
3,7,35,2.5,1195,2.16,61.004,43.707
3,7,40,0.5,152,3.185,66.447,48.355
3,7,40,1.0,291,2.612,63.918,47.633
3,7,40,1.5,448,3.023,63.393,48.022
3,7,40,2.0,561,2.893,62.567,48.009
3,7,40,2.5,693,2.859,63.348,48.126
3,7,45,0.5,83,3.729,67.47,53.316
3,7,45,1.0,149,3.178,64.43,52.913
3,7,45,1.5,228,3.934,63.158,53.678
3,7,45,2.0,283,3.624,61.837,53.775
3,7,45,2.5,350,3.668,62.857,53.957
3,7,50,0.5,40,5.492,70.0,59.829
3,7,50,1.0,74,4.396,67.568,58.701
3,7,50,1.5,126,5.566,65.873,58.852
3,7,50,2.0,163,5.038,64.417,58.569
3,7,50,2.5,204,4.884,64.216,58.752
4,1,20,0.5,309,-0.073,48.544,40.897
4,1,20,1.0,595,0.071,52.101,40.893
4,1,20,1.5,862,0.095,51.508,40.627
4,1,20,2.0,1108,0.155,52.527,40.58
4,1,20,2.5,1322,0.244,53.253,40.498
4,1,25,0.5,309,-0.073,48.544,40.897
4,1,25,1.0,595,0.071,52.101,40.893
4,1,25,1.5,862,0.095,51.508,40.627
4,1,25,2.0,1105,0.157,52.579,40.623
4,1,25,2.5,1318,0.247,53.338,40.547
4,1,30,0.5,292,-0.064,47.945,41.624
4,1,30,1.0,570,0.081,51.754,41.443
4,1,30,1.5,823,0.105,51.033,41.212
4,1,30,2.0,1058,0.155,52.174,41.167
4,1,30,2.5,1257,0.248,52.824,41.14
4,1,35,0.5,236,-0.06,47.881,43.635
4,1,35,1.0,461,0.085,52.278,43.443
4,1,35,1.5,660,0.107,50.909,43.252
4,1,35,2.0,846,0.154,51.891,43.249
4,1,35,2.5,1004,0.264,52.789,43.221
4,1,40,0.5,131,0.074,49.618,48.67
4,1,40,1.0,254,0.035,49.213,48.206
4,1,40,1.5,361,0.058,49.584,47.919
4,1,40,2.0,467,0.197,51.606,47.847
4,1,40,2.5,555,0.317,52.793,47.738
4,1,45,0.5,64,0.693,51.562,55.33
4,1,45,1.0,125,0.047,47.2,54.454
4,1,45,1.5,170,0.179,50.0,54.368
4,1,45,2.0,224,0.372,52.232,53.98
4,1,45,2.5,262,0.467,52.672,53.923
4,1,50,0.5,44,1.101,54.545,58.952
4,1,50,1.0,82,0.246,47.561,58.061
4,1,50,1.5,108,0.398,49.074,58.37
4,1,50,2.0,135,0.443,51.852,58.413
4,1,50,2.5,155,0.523,50.968,58.494
4,2,20,0.5,305,0.485,53.77,40.825
4,2,20,1.0,586,0.407,53.413,40.883
4,2,20,1.5,849,0.501,52.886,40.599
4,2,20,2.0,1093,0.466,53.705,40.563
4,2,20,2.5,1307,0.49,53.481,40.483
4,2,25,0.5,305,0.485,53.77,40.825
4,2,25,1.0,586,0.407,53.413,40.883
4,2,25,1.5,849,0.501,52.886,40.599
4,2,25,2.0,1090,0.474,53.853,40.608
4,2,25,2.5,1303,0.497,53.569,40.533
4,2,30,0.5,288,0.544,54.167,41.558
4,2,30,1.0,561,0.437,53.298,41.442
4,2,30,1.5,810,0.546,52.716,41.193
4,2,30,2.0,1043,0.491,53.691,41.159
4,2,30,2.5,1242,0.509,53.221,41.132
4,2,35,0.5,232,0.669,54.31,43.587
4,2,35,1.0,454,0.474,52.863,43.43
4,2,35,1.5,649,0.572,51.926,43.233
4,2,35,2.0,833,0.462,52.581,43.248
4,2,35,2.5,991,0.534,52.674,43.22
4,2,40,0.5,128,1.242,59.375,48.655
4,2,40,1.0,249,0.695,52.61,48.231
4,2,40,1.5,353,0.651,51.558,47.94
4,2,40,2.0,459,0.612,53.813,47.862
4,2,40,2.5,547,0.698,53.931,47.749
4,2,45,0.5,63,2.577,60.317,55.168
4,2,45,1.0,123,0.706,49.593,54.429
4,2,45,1.5,165,0.788,49.697,54.482
4,2,45,2.0,219,0.816,52.511,54.057
4,2,45,2.5,257,0.962,53.307,53.988
4,2,50,0.5,43,3.192,62.791,58.798
4,2,50,1.0,81,1.12,51.852,57.969
4,2,50,1.5,106,1.193,50.0,58.374
4,2,50,2.0,133,1.037,52.632,58.416
4,2,50,2.5,153,1.153,54.248,58.499
4,3,20,0.5,302,0.913,56.954,40.754
4,3,20,1.0,582,0.751,58.076,40.859
4,3,20,1.5,843,0.889,57.77,40.594
4,3,20,2.0,1083,0.827,56.417,40.564
