Data,Ativo,Preço_Sinal,Volume,Volume_Medio,Aumento_Volume_%,Tamanho_Rompimento_%,Retorno_5d,Retorno_Máximo_5d,Retorno_Mínimo_5d,Retorno_10d,Retorno_Máximo_10d,Retorno_Mínimo_10d,Retorno_20d,Retorno_Máximo_20d,Retorno_Mínimo_20d
2025-06-17 00:00:00,AZ,10.895000457763672,1355400.0,122840.0,1003.39,10.72,-10.1,0.96,-15.47,-9.5,0.96,-15.47,2.11,13.45,-15.47
2025-04-29 00:00:00,AZI,1.309999942779541,790500.0,126430.0,525.25,21.3,-22.14,5.34,-33.28,-19.85,5.34,-33.28,-61.91,5.34,-64.12
2025-05-07 00:00:00,BAND,13.760000228881836,783200.0,243110.0,222.16,3.46,5.96,9.01,-8.21,-0.36,9.01,-8.21,3.42,9.01,-8.21
2025-06-10 00:00:00,BATRK,42.790000915527344,651100.0,197950.0,228.92,2.66,0.12,2.17,-3.04,7.62,9.68,-3.04,8.37,9.91,-3.04
2025-04-25 00:00:00,BBAI,3.5299999713897705,125625900.0,41180880.0,205.06,7.95,-4.82,7.37,-17.56,-10.48,7.37,-17.56,3.12,23.8,-17.56
2025-05-08 00:00:00,BBD,2.700000047683716,187175500.0,31148170.0,500.92,9.01,1.11,3.33,-3.7,2.22,4.81,-3.7,7.04,11.85,-3.7
2025-05-07 00:00:00,BBNX,14.369999885559082,1211300.0,387090.0,212.92,16.17,-10.65,9.59,-19.3,8.28,12.04,-19.3,36.05,40.92,-19.3
2025-04-24 00:00:00,BCAB,0.4560000002384186,1178400.0,321540.0,266.49,14.0,8.99,15.35,-14.47,3.73,26.1,-14.47,-10.75,26.1,-20.61
2025-05-05 00:00:00,BCRX,11.029999732971191,26301800.0,4031150.0,552.46,21.61,-6.26,0.73,-13.06,-5.98,0.73,-13.06,1.45,1.9,-13.06
2025-05-13 00:00:00,BDTX,1.9299999475479128,5015700.0,899960.0,457.32,7.82,12.44,14.51,-9.59,3.11,14.51,-9.59,22.8,39.64,-9.59
2025-07-09 00:00:00,BE,28.709999084472656,21937400.0,6098810.0,259.7,15.25,-14.0,2.54,-15.92,,,,,,
2025-07-17 00:00:00,BEEM,2.8299999237060547,4036800.0,411950.0,879.92,36.71,,,,,,,,,
2025-06-09 00:00:00,BEP,25.799999237060547,1773300.0,423610.0,318.62,3.24,2.36,3.37,-5.04,-0.93,3.37,-5.04,0.81,3.72,-5.04
2025-05-27 00:00:00,BGLC,3.640000104904175,512300.0,104440.0,390.52,11.31,-5.22,39.23,-21.57,-13.74,39.23,-21.57,-28.02,39.23,-28.57
2025-06-11 00:00:00,BHC,5.329999923706055,4143300.0,1361320.0,204.36,4.51,15.95,18.39,-5.63,20.26,22.89,-5.63,20.45,35.83,-5.63
2025-06-13 00:00:00,BHC,5.980000019073486,11500100.0,1989440.0,478.06,7.36,2.01,5.52,-7.02,11.37,13.88,-7.02,7.36,21.07,-7.02
2025-07-15 00:00:00,BIDU,93.3000030517578,12043200.0,2416520.0,398.37,2.25,,,,,,,,,
2025-07-02 00:00:00,BITF,1.0099999904632568,52660300.0,11583440.0,354.62,5.21,5.94,7.92,-16.83,6.93,14.85,-16.83,,,
2025-05-02 00:00:00,BJRI,37.90999984741211,1996800.0,508980.0,292.31,9.79,3.14,3.8,-7.76,18.25,19.28,-7.76,20.05,20.34,-7.76
2025-05-13 00:00:00,BKKT,14.75,3667600.0,238070.0,1440.56,34.34,-13.29,5.02,-21.49,-25.02,5.02,-28.0,-10.64,5.69,-28.0
2025-07-02 00:00:00,BKKT,18.6299991607666,2181700.0,534720.0,308.01,19.5,11.76,13.37,-23.56,29.41,32.42,-23.56,,,
2025-05-08 00:00:00,BKSY,11.449999809265137,2531500.0,614130.0,312.21,24.93,6.11,11.18,-19.21,-6.11,11.18,-19.21,12.66,13.36,-19.21
2025-06-20 00:00:00,BKSY,14.220000267028809,4608400.0,1324220.0,248.01,6.6,37.06,47.33,-12.03,52.32,52.98,-12.03,,,
2025-06-23 00:00:00,BKSY,16.469999313354492,5198100.0,1564870.0,232.17,11.85,24.95,28.23,-17.3,36.73,51.43,-17.3,,,
2025-06-09 00:00:00,BLDE,4.239999771118164,2647700.0,606750.0,336.37,10.13,-5.9,3.07,-10.61,-9.67,3.07,-15.8,-2.36,3.07,-15.8
2025-05-08 00:00:00,BMBL,5.559999942779541,13227700.0,2823620.0,368.47,16.81,4.5,8.45,-17.63,5.04,8.45,-17.63,-4.5,12.59,-17.63
2025-06-25 00:00:00,BMBL,6.519999980926514,12167000.0,2688830.0,352.5,4.15,1.69,6.83,-8.59,2.45,7.36,-8.59,,,
2025-06-03 00:00:00,BMEA,2.490000009536743,63292500.0,646830.0,9685.03,8.26,1.61,22.09,-38.96,16.47,23.69,-38.96,-33.73,23.69,-38.96
2025-05-13 00:00:00,BMI,247.11471557617188,854100.0,212180.0,302.54,2.74,-0.09,0.88,-4.8,-0.54,1.33,-4.8,-0.72,3.63,-4.8
2025-04-10 00:00:00,BNGO,4.400000095367432,1689000.0,113770.0,1384.57,12.53,-7.95,18.64,-30.0,-2.27,18.64,-30.0,-12.73,18.64,-30.0
2025-06-02 00:00:00,BNTX,113.0999984741211,5275500.0,855800.0,516.44,5.71,-3.65,8.66,-6.01,-5.99,8.66,-8.05,-4.94,8.66,-9.93
2025-05-28 00:00:00,BOX,36.869998931884766,16887100.0,1682050.0,903.96,13.45,4.56,5.23,-5.48,-2.58,5.23,-5.48,-7.4,5.23,-8.38
2025-06-27 00:00:00,BRBS,3.640000104904175,14299700.0,309970.0,4513.25,2.97,-1.1,1.65,-8.52,2.75,2.75,-8.52,,,
2025-05-12 00:00:00,BRDG,10.0600004196167,715400.0,224310.0,218.93,2.24,0.0,2.29,-2.19,-6.76,2.29,-10.93,-4.87,2.29,-10.93
2025-04-22 00:00:00,BRRR,25.90999984741211,839000.0,186120.0,350.78,3.15,4.09,4.63,-2.24,3.63,6.95,-2.24,16.94,17.16,-2.24
2025-04-24 00:00:00,BSGM,0.8399999737739563,722200.0,133170.0,442.31,21.74,45.24,54.76,-26.19,113.1,116.67,-26.19,405.95,470.24,-26.19
2025-04-25 00:00:00,BSGM,0.9200000166893004,975900.0,190980.0,411.0,2.22,48.91,55.43,-21.74,110.87,121.74,-21.74,473.91,507.61,-21.74
2025-05-09 00:00:00,BTCS,3.109999895095825,5969400.0,246740.0,2319.31,57.07,-20.9,0.64,-42.12,-8.04,8.36,-42.12,-20.58,15.76,-42.12
2025-07-08 00:00:00,BTCS,5.909999847412109,134376200.0,1809380.0,7326.64,101.02,-19.63,4.74,-50.25,,,,,,
2025-05-09 00:00:00,BTM,1.690000057220459,743700.0,118020.0,530.15,5.63,58.58,69.82,-12.72,97.63,121.89,-12.72,240.83,245.56,-12.72
2025-05-16 00:00:00,BTM,2.680000066757202,4490700.0,1226560.0,266.12,11.67,24.63,39.93,-20.15,55.97,65.3,-20.15,141.79,148.32,-20.15
2025-07-07 00:00:00,BTOG,0.2560000121593475,277979100.0,7949380.0,3396.87,24.88,37.5,81.64,-25.78,,,,,,
2025-07-11 00:00:00,BTOG,0.4399999976158142,213262700.0,67369770.0,216.56,19.57,99.61,122.73,-27.27,,,,,,
2025-07-17 00:00:00,BTOG,0.6309999823570251,457542600.0,94789920.0,382.69,35.7,,,,,,,,,
2025-05-02 00:00:00,BTSG,20.8700008392334,4015300.0,1149880.0,249.19,13.67,9.34,12.36,-7.04,17.06,18.83,-7.04,14.66,18.83,-7.04
2025-07-02 00:00:00,BULL,14.010000228881836,26586100.0,8523300.0,211.92,8.52,-8.57,8.14,-14.99,3.0,8.14,-14.99,,,
2025-06-30 00:00:00,BUR,14.260000228881836,14708900.0,2570070.0,472.32,5.63,2.24,2.45,-18.16,-2.52,5.89,-18.16,,,
