Data,Ativo,Preço_Sinal,Volume,Volume_Medio,Retorno_5d,Preço_5d,Retorno_10d,Preço_10d,Retorno_20d,Preço_20d
2025-05-30 00:00:00,ACTU,11.899999618530272,276700.0,54730.0,-24.71,8.96,-27.31,8.65,-48.66,6.11
2025-03-13 00:00:00,ACU,39.70220947265625,11800.0,7400.0,1.25,40.2,2.77,40.8,-1.93,38.94
2025-04-17 00:00:00,ACU,41.22846221923828,49900.0,14470.0,0.41,41.4,-7.35,38.2,-3.79,39.66
2025-05-07 00:00:00,ACV,20.32585334777832,48000.0,31680.0,5.26,21.39,4.87,21.32,8.12,21.98
2025-06-04 00:00:00,ACV,21.926225662231445,31400.0,17690.0,0.13,21.96,-0.95,21.72,2.78,22.54
2025-05-07 00:00:00,ACVA,15.710000038146973,3092800.0,1562930.0,7.13,16.83,3.95,16.33,3.82,16.31
2025-05-08 00:00:00,ACVA,16.3799991607666,3789400.0,1747590.0,3.36,16.93,2.32,16.76,0.98,16.54
2025-06-24 00:00:00,ACWI,126.5,6680100.0,3010070.0,1.6,128.53,2.43,129.58,,
2025-03-19 00:00:00,ACWX,56.62504959106445,3712300.0,1704640.0,-1.85,55.58,-2.89,54.99,-5.75,53.37
2025-04-29 00:00:00,ACWX,56.122196197509766,2490800.0,1596530.0,2.07,57.29,2.9,57.75,4.44,58.62
2025-05-13 00:00:00,ACWX,57.74906921386719,2035300.0,1340120.0,1.81,58.79,1.5,58.62,3.96,60.04
2025-05-15 00:00:00,ACWX,58.1040267944336,2701200.0,1282250.0,0.56,58.43,0.93,58.65,2.55,59.58
2025-05-27 00:00:00,ACWX,59.12944793701172,2354200.0,1418350.0,-0.17,59.03,1.48,60.01,1.46,59.99
2025-06-17 00:00:00,ACXP,0.8209999799728394,344162700.0,261820.0,-31.06,0.57,-40.68,0.49,-45.31,0.45
2025-06-02 00:00:00,ADAG,2.0850000381469727,44900.0,25010.0,-8.39,1.91,-7.43,1.93,-11.27,1.85
2025-05-16 00:00:00,ADBE,417.1300048828125,5391500.0,2596940.0,-2.26,407.69,-3.29,403.4,-3.69,401.73
2025-03-07 00:00:00,ADC,74.9920425415039,1747200.0,1038150.0,1.13,75.84,-0.72,74.45,-1.73,73.7
2025-03-10 00:00:00,ADC,75.79109191894531,2012000.0,1083550.0,0.43,76.12,-1.46,74.69,-6.79,70.65
2025-03-04 00:00:00,ADCT,1.7899999618530271,588200.0,343140.0,-3.91,1.72,-1.12,1.77,-24.58,1.35
2025-05-14 00:00:00,ADCT,1.809999942779541,2622000.0,234660.0,8.84,1.97,53.04,2.77,102.76,3.67
2025-05-19 00:00:00,ADCT,2.3399999141693115,1371900.0,519330.0,6.84,2.5,53.42,3.59,39.32,3.26
2025-06-02 00:00:00,ADCT,3.509999990463257,1694200.0,880160.0,1.71,3.57,-3.7,3.38,-23.93,2.67
2025-06-03 00:00:00,ADCT,3.5899999141693115,1734800.0,1006880.0,2.23,3.67,-9.19,3.26,-22.01,2.8
2025-04-09 00:00:00,ADD,1.059999942779541,4319400.0,1221350.0,-24.53,0.8,-34.91,0.69,-0.94,1.05
2025-06-24 00:00:00,ADD,1.0299999713897705,960500.0,396060.0,-15.53,0.87,-8.74,0.94,,
2025-02-19 00:00:00,ADEA,16.270580291748047,2574927.0,394186.4,-2.2,15.91,-7.26,15.09,-15.09,13.82
2025-05-06 00:00:00,ADEA,13.177706718444824,1093155.0,414518.1,5.97,13.96,1.81,13.42,-0.59,13.1
2025-02-20 00:00:00,ADGM,1.4900000095367432,562600.0,129030.0,3.36,1.54,-25.84,1.11,-41.95,0.87
2025-04-17 00:00:00,ADGM,1.7799999713897705,115479200.0,20920.0,-26.97,1.3,-29.21,1.26,-33.71,1.18
2025-07-07 00:00:00,ADGM,1.649999976158142,70900.0,45680.0,-9.09,1.5,,,,
2025-02-19 00:00:00,ADI,239.5225830078125,9789600.0,3711840.0,-3.28,231.66,-4.63,228.43,-12.74,209.02
2025-05-12 00:00:00,ADI,222.1385955810547,6358100.0,3347580.0,0.62,223.52,-2.81,215.91,5.04,233.34
2025-04-08 00:00:00,ADIL,0.7599999904632568,160600.0,63260.0,-3.95,0.73,-7.89,0.7,-14.47,0.65
2025-03-10 00:00:00,ADM,50.09542465209961,6451400.0,4212160.0,-5.18,47.5,-9.25,45.46,-15.08,42.54
2025-06-13 00:00:00,ADM,52.0,7556200.0,3079400.0,1.58,52.82,1.5,52.78,3.33,53.73
2025-06-16 00:00:00,ADM,54.15999984741211,8322300.0,3338720.0,-2.27,52.93,0.54,54.45,-0.3,54.0
2025-03-05 00:00:00,ADMA,17.68000030517578,4509800.0,2778380.0,4.64,18.5,16.57,20.61,14.42,20.23
2025-03-19 00:00:00,ADMA,20.61000061035156,5668200.0,3177430.0,-4.42,19.7,-1.84,20.23,3.01,21.23
2025-04-14 00:00:00,ADMA,20.90999984741211,6797700.0,3123810.0,2.3,21.39,15.3,24.11,-4.93,19.88
2025-04-15 00:00:00,ADMA,22.149999618530277,7314900.0,3384660.0,-1.9,21.73,7.45,23.8,-12.1,19.47
2025-04-28 00:00:00,ADMA,24.51000022888184,10267700.0,4059660.0,-3.26,23.71,-16.56,20.45,-18.85,19.89
2025-06-11 00:00:00,ADMA,21.8700008392334,4140500.0,2137370.0,-17.1,18.13,-15.87,18.4,-15.36,18.51
2025-05-06 00:00:00,ADN,3.910000085830689,161700.0,43680.0,-31.23,2.69,-43.73,2.2,-34.53,2.56
2025-05-08 00:00:00,ADNT,13.770000457763672,1761300.0,1005510.0,12.49,15.49,8.93,15.0,16.34,16.02
2025-05-09 00:00:00,ADNT,14.670000076293944,1993900.0,1069480.0,7.84,15.82,0.41,14.73,12.27,16.47
2025-05-12 00:00:00,ADNT,15.609999656677246,2667800.0,1181870.0,-0.45,15.54,-0.7,15.5,12.88,17.62
2025-06-10 00:00:00,ADNT,17.6200008392334,1716400.0,1118660.0,7.49,18.94,9.82,19.35,29.8,22.87
2025-06-11 00:00:00,ADNT,18.799999237060547,3281900.0,1212010.0,0.48,18.89,4.84,19.71,20.9,22.73
2025-05-02 00:00:00,ADPT,9.84000015258789,15572000.0,1813850.0,-8.23,9.03,-8.03,9.05,-2.95,9.55
2025-06-25 00:00:00,ADPT,11.979999542236328,5410700.0,1428110.0,-4.17,11.48,0.83,12.08,,
2025-06-26 00:00:00,ADPT,12.15999984741211,4507800.0,1865830.0,-2.96,11.8,-2.8,11.82,,
2025-06-30 00:00:00,ADSE,13.800000190734863,384500.0,77250.0,-17.46,11.39,-20.43,10.98,,
2025-02-27 00:00:00,ADT,8.006678581237793,28329100.0,8061730.0,-5.17,7.59,-9.19,7.27,2.1,8.17
2025-04-30 00:00:00,ADUR,5.409999847412109,279100.0,43630.0,2.22,5.53,15.9,6.27,52.13,8.23
