sector,signal_type,analysis_days,holding_days,volume_threshold,price_threshold,hit_rate,avg_return,trade_count,tickers_count
NON_TECH,BUY_MODERATE,2,2,1.2,0.5,61.53846153846154,2.995070821167813,13,20
TECH,SELL_STRONG,2,2,1.2,1.0,47.61904761904761,-0.6174677355606131,63,9
TECH,BUY_STRONG,2,2,1.2,1.0,55.38461538461539,0.6601313726779305,65,9
TECH,BUY_MODERATE,2,2,1.2,1.0,65.0,2.1638859963374584,20,9
NON_TECH,SELL_STRONG,2,2,1.2,1.0,38.46153846153847,-1.8611691661299732,143,20
NON_TECH,BUY_STRONG,2,2,1.2,1.0,53.293413173652695,2.135095078208702,167,20
NON_TECH,BUY_MODERATE,2,2,1.2,1.0,55.00000000000001,1.2848065661224402,20,20
TECH,SELL_STRONG,2,2,1.2,1.5,54.0,-0.26368717644710016,50,9
TECH,BUY_STRONG,2,2,1.2,1.5,50.90909090909091,0.12102483986459836,55,9
TECH,BUY_MODERATE,2,2,1.2,1.5,68.0,1.8359996090965227,25,9
NON_TECH,SELL_STRONG,2,2,1.2,1.5,40.17094017094017,-2.0801395844610515,117,20
NON_TECH,BUY_STRONG,2,2,1.2,1.5,56.390977443609025,2.2440608864105047,133,20
NON_TECH,BUY_MODERATE,2,2,1.2,1.5,51.42857142857142,1.2752981462229558,35,20
TECH,BUY_STRONG,2,2,1.2,2.0,48.64864864864865,0.6436799589837225,37,9
TECH,SELL_STRONG,2,2,1.2,2.0,57.89473684210527,0.16172672425068316,38,9
TECH,BUY_MODERATE,2,2,1.2,2.0,70.0,1.9866269566167356,30,9
NON_TECH,SELL_STRONG,2,2,1.2,2.0,42.5287356321839,-1.5584860092133908,87,20
NON_TECH,BUY_STRONG,2,2,1.2,2.0,52.21238938053098,2.135776935183522,113,20
NON_TECH,BUY_MODERATE,2,2,1.2,2.0,50.0,1.3428222218161592,42,20
TECH,BUY_STRONG,2,2,1.2,2.5,51.515151515151516,1.0772720043048807,33,9
TECH,BUY_MODERATE,2,2,1.2,2.5,70.58823529411765,1.987221481595652,34,9
TECH,SELL_STRONG,2,2,1.2,2.5,57.14285714285714,0.48742766749084093,28,9
NON_TECH,SELL_STRONG,2,2,1.2,2.5,40.54054054054054,-1.5991919124969,74,20
NON_TECH,BUY_STRONG,2,2,1.2,2.5,54.02298850574713,2.2913106305479523,87,20
NON_TECH,BUY_MODERATE,2,2,1.2,2.5,52.54237288135594,2.439485983385242,59,20
TECH,BUY_STRONG,2,2,1.3,0.5,58.620689655172406,0.7935173496709012,58,9
TECH,SELL_STRONG,2,2,1.3,0.5,46.42857142857143,-0.8217748373818131,56,9
